symbol,date,open,high,low,close,volume,adjusted
AAPL,1999-10-04,0.55692,0.579241,0.55692,0.576451,459356800,0.494229
AAPL,1999-10-05,0.585938,0.608259,0.578125,0.606585,814206400,0.520065
AAPL,1999-10-06,0.61942,0.621652,0.598214,0.599888,804272000,0.514323
AAPL,1999-10-07,0.611049,0.612723,0.579241,0.592634,605886400,0.508104
AAPL,1999-10-08,0.59096,0.592076,0.566964,0.585379,382804800,0.501884
AAPL,1999-10-11,0.589286,0.609375,0.589286,0.595424,263121600,0.510496
AAPL,1999-10-12,0.606027,0.621652,0.598214,0.604353,563752000,0.518151
AAPL,1999-10-13,0.594866,0.620536,0.569196,0.571708,636731200,0.490163
AAPL,1999-10-14,0.618304,0.654576,0.616071,0.65346,1898803200,0.560254
AAPL,1999-10-15,0.635045,0.676897,0.626674,0.665737,1173177600,0.57078
AAPL,1999-10-18,0.659598,0.662946,0.635045,0.654018,776406400,0.560732
AAPL,1999-10-19,0.639509,0.669643,0.611049,0.611607,1022582400,0.524371
AAPL,1999-10-20,0.625,0.671875,0.625,0.670759,1081404800,0.575085
AAPL,1999-10-21,0.647879,0.688058,0.646205,0.679688,793452800,0.582741
AAPL,1999-10-22,0.688616,0.689732,0.655134,0.660156,419507200,0.565995
AAPL,1999-10-25,0.662946,0.679688,0.658482,0.665179,326592000,0.570301
AAPL,1999-10-26,0.669085,0.674107,0.654576,0.670201,361435200,0.574607
AAPL,1999-10-27,0.664063,0.684152,0.655692,0.68192,443072000,0.584654
AAPL,1999-10-28,0.688058,0.705357,0.679129,0.695313,504089600,0.596137
AAPL,1999-10-29,0.703683,0.723772,0.703683,0.715402,523051200,0.613361
AAPL,1999-11-01,0.714286,0.720424,0.690848,0.69308,278577600,0.594222
AAPL,1999-11-02,0.696429,0.729353,0.69029,0.716518,399235200,0.614317
AAPL,1999-11-03,0.728795,0.743304,0.723214,0.727679,328462400,0.623887
AAPL,1999-11-04,0.732701,0.762277,0.719866,0.746652,379086400,0.640153
AAPL,1999-11-05,0.75558,0.789063,0.75,0.788504,416808000,0.676036
AAPL,1999-11-08,0.783482,0.872628,0.774554,0.860491,950924800,0.737755
AAPL,1999-11-09,0.842634,0.84375,0.785714,0.800223,809177600,0.686083
AAPL,1999-11-10,0.787946,0.832589,0.78683,0.816406,577897600,0.699958
AAPL,1999-11-11,0.817801,0.827009,0.802455,0.823661,269875200,0.706178
AAPL,1999-11-12,0.820871,0.821429,0.780134,0.809152,279059200,0.693739
AAPL,1999-11-15,0.800223,0.829241,0.790179,0.798549,259907200,0.684648
AAPL,1999-11-16,0.803571,0.819196,0.790179,0.814174,233856000,0.698044
AAPL,1999-11-17,0.80971,0.845982,0.803571,0.805804,364571200,0.690868
AAPL,1999-11-18,0.813058,0.813616,0.789621,0.800223,364784000,0.686083
AAPL,1999-11-19,0.799107,0.829241,0.786272,0.825335,312513600,0.707613
AAPL,1999-11-22,0.819196,0.819196,0.796875,0.809152,202361600,0.693739
AAPL,1999-11-23,0.819196,0.850446,0.790179,0.828683,543312000,0.710484
AAPL,1999-11-24,0.830357,0.848214,0.818638,0.845424,215107200,0.724837
AAPL,1999-11-26,0.845982,0.852679,0.840402,0.848772,132070400,0.727708
AAPL,1999-11-29,0.841518,0.890625,0.832589,0.844308,464161600,0.72388
AAPL,1999-11-30,0.876116,0.926339,0.86942,0.873884,843180800,0.749238
AAPL,1999-12-01,0.901786,0.933036,0.893415,0.920201,618564800,0.788948
AAPL,1999-12-02,0.920759,0.987723,0.908482,0.983817,567358400,0.843491
AAPL,1999-12-03,1.001674,1.031808,0.998884,1.026786,647920000,0.880331
AAPL,1999-12-06,1.022879,1.047433,0.994978,1.035714,466782400,0.887985
AAPL,1999-12-07,1.040737,1.053571,1.017857,1.051897,445020800,0.90186
AAPL,1999-12-08,1.037946,1.052455,0.977679,0.982701,412350400,0.842533
AAPL,1999-12-09,0.991071,0.991071,0.90067,0.939732,855198400,0.805693
AAPL,1999-12-10,0.94029,0.975446,0.883929,0.919643,637761600,0.78847
AAPL,1999-12-13,0.914202,0.915179,0.883371,0.883929,529961600,0.75785
AAPL,1999-12-14,0.878348,0.890625,0.845982,0.847098,435870400,0.726272
AAPL,1999-12-15,0.832589,0.868304,0.813058,0.866071,622977600,0.742539
AAPL,1999-12-16,0.875,0.878348,0.839286,0.87779,463825600,0.752587
AAPL,1999-12-17,0.90067,0.910714,0.879464,0.892857,495006400,0.765504
AAPL,1999-12-20,0.888951,0.889509,0.862723,0.875,283987200,0.750194
AAPL,1999-12-21,0.876674,0.920201,0.874442,0.915179,307596800,0.784643
AAPL,1999-12-22,0.918527,0.933594,0.881696,0.892299,327073600,0.765026
AAPL,1999-12-23,0.90904,0.930804,0.902344,0.924107,229532800,0.792297
AAPL,1999-12-27,0.93192,0.932478,0.886161,0.886719,168392000,0.760242
AAPL,1999-12-28,0.885045,0.889509,0.848214,0.876674,247576000,0.75163
AAPL,1999-12-29,0.864397,0.912388,0.852679,0.898996,284502400,0.770768
AAPL,1999-12-30,0.912388,0.929688,0.889509,0.895647,207144000,0.767896
AAPL,1999-12-31,0.901228,0.918527,0.888393,0.917969,163811200,0.787035
AAPL,2000-01-03,0.936384,1.004464,0.907924,0.999442,535796800,0.856887
AAPL,2000-01-04,0.966518,0.987723,0.90346,0.915179,512377600,0.784643
AAPL,2000-01-05,0.926339,0.987165,0.919643,0.928571,778321600,0.796124
AAPL,2000-01-06,0.947545,0.955357,0.848214,0.848214,767972800,0.727229
AAPL,2000-01-07,0.861607,0.901786,0.852679,0.888393,460734400,0.761677
AAPL,2000-01-10,0.910714,0.912946,0.845982,0.872768,505064000,0.748281
AAPL,2000-01-11,0.856585,0.887277,0.808036,0.828125,441548800,0.710005
AAPL,2000-01-12,0.848214,0.852679,0.772321,0.77846,976068800,0.667425
AAPL,2000-01-13,0.84361,0.881696,0.825893,0.863839,1032684800,0.740625
AAPL,2000-01-14,0.892857,0.912946,0.887277,0.896763,390376000,0.768853
AAPL,2000-01-18,0.901786,0.946429,0.896763,0.928013,459177600,0.795646
AAPL,2000-01-19,0.94308,0.970982,0.922991,0.951451,597643200,0.815741
AAPL,2000-01-20,1.03125,1.084821,1.013393,1.013393,1831132800,0.868848
AAPL,2000-01-21,1.020089,1.020089,0.983817,0.993862,495924800,0.852103
AAPL,2000-01-24,0.968192,1.006696,0.938616,0.948661,440876800,0.813349
AAPL,2000-01-25,0.9375,1.010045,0.914063,1.002232,497145600,0.859279
AAPL,2000-01-26,0.982143,1.019531,0.979911,0.983817,367158400,0.843491
AAPL,2000-01-27,0.97154,1.008929,0.955357,0.982143,340144000,0.842055
AAPL,2000-01-28,0.96596,0.989955,0.898438,0.907366,423348800,0.777944
AAPL,2000-01-31,0.901786,0.927455,0.84375,0.926339,701680000,0.794211
AAPL,2000-02-01,0.928571,0.9375,0.892857,0.895089,318035200,0.767418
AAPL,2000-02-02,0.899554,0.91183,0.866071,0.882254,464195200,0.756414
AAPL,2000-02-03,0.895647,0.930804,0.895089,0.922433,475193600,0.790862
AAPL,2000-02-04,0.928013,0.982143,0.925223,0.964286,425320000,0.826745
AAPL,2000-02-07,0.964286,1.020089,0.945871,1.018415,441067200,0.873154
AAPL,2000-02-08,1.017857,1.03683,0.993304,1.02567,408643200,0.879374
AAPL,2000-02-09,1.018973,1.045759,1.003906,1.00558,299364800,0.862149
AAPL,2000-02-10,1.007813,1.016741,0.982143,1.013393,302982400,0.868848
AAPL,2000-02-11,1.014509,1.018973,0.966518,0.970982,212251200,0.832486
AAPL,2000-02-14,0.976004,1.034598,0.969866,1.03404,367539200,0.88655
AAPL,2000-02-15,1.029018,1.070871,1.02846,1.0625,485744000,0.910951
AAPL,2000-02-16,1.051339,1.054688,1.001116,1.018973,378246400,0.873632
AAPL,2000-02-17,1.02846,1.03125,1.010045,1.02567,289497600,0.879374
AAPL,2000-02-18,1.023438,1.030134,0.989955,0.993304,233441600,0.851624
AAPL,2000-02-22,0.983259,1.044085,0.952567,1.016183,422296000,0.87124
AAPL,2000-02-23,1.011021,1.0625,0.991071,1.037946,473099200,0.889899
AAPL,2000-02-24,1.047433,1.063616,0.997768,1.028599,376432000,0.881885
AAPL,2000-02-25,1.025112,1.044643,0.983259,0.985491,249144000,0.844926
AAPL,2000-02-28,0.983259,1.026786,0.967634,1.011161,328328000,0.866934
AAPL,2000-02-29,1.013951,1.046875,1.005022,1.023438,368961600,0.87746
AAPL,2000-03-01,1.058594,1.179129,1.058036,1.163504,1077003200,0.997548
AAPL,2000-03-02,1.133929,1.142299,1.077567,1.089286,311259200,0.933916
AAPL,2000-03-03,1.114955,1.14495,1.071429,1.142857,323366400,0.979846
AAPL,2000-03-06,1.125,1.152902,1.116071,1.12221,210560000,0.962144
AAPL,2000-03-07,1.128906,1.137835,1.081473,1.097098,273011200,0.940614
AAPL,2000-03-08,1.097098,1.106585,1.058594,1.089286,271230400,0.933916
AAPL,2000-03-09,1.079241,1.116071,1.055804,1.091518,276718400,0.93583
AAPL,2000-03-10,1.086496,1.142299,1.080357,1.122768,248606400,0.962622
AAPL,2000-03-13,1.090402,1.129464,1.066964,1.083147,303956800,0.928653
AAPL,2000-03-14,1.08231,1.109375,1.017857,1.020089,428579200,0.874589
AAPL,2000-03-15,1.032366,1.073661,1.018973,1.037946,443609600,0.889899
AAPL,2000-03-16,1.047433,1.089286,1.022321,1.085379,378100800,0.930566
AAPL,2000-03-17,1.072545,1.116071,1.06808,1.116071,305043200,0.95688
