"County","State","Population"
"Hodgeman County","Kansas",1779
"Jackson County","Kansas",13171
"Jefferson County","Kansas",19032
"Jewell County","Kansas",2833
"Johnson County","Kansas",607220
"Kearny County","Kansas",3745
"Kingman County","Kansas",6974
"Kiowa County","Kansas",2456
"Labette County","Kansas",19586
"Lane County","Kansas",1518
"Leavenworth County","Kansas",82246
"Lincoln County","Kansas",2986
"Linn County","Kansas",9654
"Logan County","Kansas",2732
"Lyon County","Kansas",33045
"McPherson County","Kansas",28448
"Marion County","Kansas",11652
"Marshall County","Kansas",9652
"Meade County","Kansas",4029
"Miami County","Kansas",34334
"Mitchell County","Kansas",5879
"Montgomery County","Kansas",31502
"Morris County","Kansas",5559
"Morton County","Kansas",2538
"Nemaha County","Kansas",10121
"Neosho County","Kansas",15929
"Ness County","Kansas",2768
"Norton County","Kansas",5328
"Osage County","Kansas",15770
"Osborne County","Kansas",3439
"Ottawa County","Kansas",5712
"Pawnee County","Kansas",6366
"Phillips County","Kansas",5181
"Pottawatomie County","Kansas",24722
"Pratt County","Kansas",9127
"Rawlins County","Kansas",2511
"Reno County","Kansas",61793
"Republic County","Kansas",4536
"Rice County","Kansas",9362
"Riley County","Kansas",73202
"Rooks County","Kansas",4827
"Rush County","Kansas",2947
"Russell County","Kansas",6804
"Saline County","Kansas",53926
"Scott County","Kansas",4790
"Sedgwick County","Kansas",519907
"Seward County","Kansas",21038
"Shawnee County","Kansas",175999
"Sheridan County","Kansas",2520
"Sherman County","Kansas",5777
"Smith County","Kansas",3544
"Stafford County","Kansas",4046
"Stanton County","Kansas",1969
"Stevens County","Kansas",5388
"Sumner County","Kansas",22578
"Thomas County","Kansas",7702
"Trego County","Kansas",2758
"Wabaunsee County","Kansas",6906
"Wallace County","Kansas",1536
"Washington County","Kansas",5427
"Wichita County","Kansas",2074
"Wilson County","Kansas",8362
"Woodson County","Kansas",3015
"Wyandotte County","Kansas",165265
"Adair County","Kentucky",19555
"Allen County","Kentucky",21303
"Anderson County","Kentucky",22833
"Ballard County","Kentucky",7769
"Barren County","Kentucky",44300
"Bath County","Kentucky",12481
"Bell County","Kentucky",25482
"Boone County","Kentucky",135396
"Bourbon County","Kentucky",19901
"Boyd County","Kentucky",46516
"Boyle County","Kentucky",30367
"Bracken County","Kentucky",8286
"Breathitt County","Kentucky",12550
"Breckinridge County","Kentucky",20537
"Bullitt County","Kentucky",82182
"Butler County","Kentucky",12703
"Caldwell County","Kentucky",12687
"Calloway County","Kentucky",39300
"Campbell County","Kentucky",94020
"Carlisle County","Kentucky",4692
"Carroll County","Kentucky",10730
"Carter County","Kentucky",26542
"Casey County","Kentucky",16066
"Christian County","Kentucky",71478
"Clark County","Kentucky",36463
"Clay County","Kentucky",19631
"Clinton County","Kentucky",10110
"Crittenden County","Kentucky",8847
"Cumberland County","Kentucky",6523
"Daviess County","Kentucky",101978
"Edmonson County","Kentucky",12235
"Elliott County","Kentucky",7372
"Estill County","Kentucky",14109
"Fayette County","Kentucky",324735
"Fleming County","Kentucky",14603
"Floyd County","Kentucky",34974
"Franklin County","Kentucky",51118
"Fulton County","Kentucky",5952
"Gallatin County","Kentucky",8779
"Garrard County","Kentucky",17719
"Grant County","Kentucky",25387
"Graves County","Kentucky",36818
"Grayson County","Kentucky",26480
"Green County","Kentucky",10995
"Greenup County","Kentucky",34865
"Hancock County","Kentucky",8742
"Hardin County","Kentucky",111309
"Harlan County","Kentucky",25566
"Harrison County","Kentucky",18920
"Hart County","Kentucky",19013
"Henderson County","Kentucky",44740
"Henry County","Kentucky",16067
"Hickman County","Kentucky",4364
"Hopkins County","Kentucky",44662
"Jackson County","Kentucky",13340
"Jefferson County","Kentucky",767452
"Jessamine County","Kentucky",54057
"Johnson County","Kentucky",22002
"Kenton County","Kentucky",167949
"Knott County","Kentucky",14512
"Knox County","Kentucky",31022
"Larue County","Kentucky",14431
"Laurel County","Kentucky",61238
"Lawrence County","Kentucky",15436
"Lee County","Kentucky",7268
"Leslie County","Kentucky",9637
"Letcher County","Kentucky",21213
"Lewis County","Kentucky",13262
"Lincoln County","Kentucky",24466
"Livingston County","Kentucky",9041
"Logan County","Kentucky",27416
"Lyon County","Kentucky",8133
"McCracken County","Kentucky",65644
"McCreary County","Kentucky",17071
"McLean County","Kentucky",9075
"Madison County","Kentucky",94265
"Magoffin County","Kentucky",12017
"Marion County","Kentucky",19314
"Marshall County","Kentucky",31163
"Martin County","Kentucky",11031
"Mason County","Kentucky",17035
"Meade County","Kentucky",28616
"Menifee County","Kentucky",6502
"Mercer County","Kentucky",21889
"Metcalfe County","Kentucky",10058
"Monroe County","Kentucky",10549
"Montgomery County","Kentucky",28186
"Morgan County","Kentucky",13142
"Muhlenberg County","Kentucky",30457
"Nelson County","Kentucky",46450
"Nicholas County","Kentucky",7234
"Ohio County","Kentucky",23899
"Oldham County","Kentucky",66999
"Owen County","Kentucky",11017
"Owsley County","Kentucky",4331
"Pendleton County","Kentucky",14586
"Perry County","Kentucky",25456
"Pike County","Kentucky",57057
"Powell County","Kentucky",12218
"Pulaski County","Kentucky",65530
"Robertson County","Kentucky",2136
"Rockcastle County","Kentucky",16750
"Rowan County","Kentucky",24682
"Russell County","Kentucky",17998
"Scott County","Kentucky",58470
"Shelby County","Kentucky",49611
"Simpson County","Kentucky",18635
"Spencer County","Kentucky",19585
"Taylor County","Kentucky",25707
"Todd County","Kentucky",12448
"Trigg County","Kentucky",14776
"Trimble County","Kentucky",8481
"Union County","Kentucky",14443
"Warren County","Kentucky",134510
"Washington County","Kentucky",12147
"Wayne County","Kentucky",20209
"Webster County","Kentucky",12923
"Whitley County","Kentucky",36451
"Wolfe County","Kentucky",7106
"Woodford County","Kentucky",26765
"Acadia Parish","Louisiana",61918
"Allen Parish","Louisiana",25440
"Ascension Parish","Louisiana",128665
"Assumption Parish","Louisiana",21621
"Avoyelles Parish","Louisiana",39966
"Beauregard Parish","Louisiana",37881
"Bienville Parish","Louisiana",12983
"Bossier Parish","Louisiana",127275
"Caddo Parish","Louisiana",237479
"Calcasieu Parish","Louisiana",203310
"Caldwell Parish","Louisiana",9839
"Cameron Parish","Louisiana",7003
"Catahoula Parish","Louisiana",9226
"Claiborne Parish","Louisiana",15508
"Concordia Parish","Louisiana",18914
"De Soto Parish","Louisiana",27650
"East Baton Rouge Parish","Louisiana",439729
"East Carroll Parish","Louisiana",6589
"East Feliciana Parish","Louisiana",18882
"Evangeline Parish","Louisiana",33276
"Franklin Parish","Louisiana",19723
"Grant Parish","Louisiana",22254
"Iberia Parish","Louisiana",68991
"Iberville Parish","Louisiana",32070
"Jackson Parish","Louisiana",15574
"Jefferson Parish","Louisiana",432346
"Jefferson Davis Parish","Louisiana",31208
"Lafayette Parish","Louisiana",246518
"Lafourche Parish","Louisiana",97596
"LaSalle Parish","Louisiana",15021
"Lincoln Parish","Louisiana",46552
"Livingston Parish","Louisiana",143737
"Madison Parish","Louisiana",10635
"Morehouse Parish","Louisiana",24227
"Natchitoches Parish","Louisiana",37655
"Orleans Parish","Louisiana",389476
"Ouachita Parish","Louisiana",152439
"Plaquemines Parish","Louisiana",23113
"Pointe Coupee Parish","Louisiana",21529
"Rapides Parish","Louisiana",128567
"Red River Parish","Louisiana",8286
"Richland Parish","Louisiana",20014
"Sabine Parish","Louisiana",23803
"St. Bernard Parish","Louisiana",47647
"St. Charles Parish","Louisiana",52987
"St. Helena Parish","Louisiana",10081
"St. James Parish","Louisiana",20727
"St. John the Baptist Parish","Louisiana",42516
"St. Landry Parish","Louisiana",81440
"St. Martin Parish","Louisiana",52954
"St. Mary Parish","Louisiana",48330
"St. Tammany Parish","Louisiana",263446
"Tangipahoa Parish","Louisiana",136765
"Tensas Parish","Louisiana",4178
"Terrebonne Parish","Louisiana",109859
"Union Parish","Louisiana",22170
"Vermilion Parish","Louisiana",59378
"Vernon Parish","Louisiana",47894
"Washington Parish","Louisiana",45773
"Webster Parish","Louisiana",37943
"West Baton Rouge Parish","Louisiana",26792
"West Carroll Parish","Louisiana",10646
"West Feliciana Parish","Louisiana",15465
"Winn Parish","Louisiana",13839
"Androscoggin County","Maine",108547
"Aroostook County","Maine",66804
"Cumberland County","Maine",298111
"Franklin County","Maine",29986
"Hancock County","Maine",55088
"Kennebec County","Maine",122955
"Knox County","Maine",39951
"Lincoln County","Maine",34775
"Oxford County","Maine",58132
"Penobscot County","Maine",151655
"Piscataquis County","Maine",16996
"Sagadahoc County","Maine",36044
"Somerset County","Maine",50635
"Waldo County","Maine",39923
"Washington County","Maine",31473
"York County","Maine",209066
"Allegany County","Maryland",70057
"Anne Arundel County","Maryland",582777
"Baltimore County","Maryland",826017
"Calvert County","Maryland",93072
"Caroline County","Maryland",33492
"Carroll County","Maryland",169092
"Cecil County","Maryland",103419
"Charles County","Maryland",164436
"Dorchester County","Maryland",31853
"Frederick County","Maryland",265161
"Garrett County","Maryland",28852
"Harford County","Maryland",256805
"Howard County","Maryland",328200
"Kent County","Maryland",19192
"Montgomery County","Maryland",1051816
"Prince George's County","Maryland",909612
"Queen Anne's County","Maryland",51167
"St. Mary's County","Maryland",114687
"Somerset County","Maryland",25453
"Talbot County","Maryland",36972
"Washington County","Maryland",151146
"Wicomico County","Maryland",103990
"Worcester County","Maryland",52403
"Baltimore city","Maryland",586131
"Barnstable County","Massachusetts",213164
"Berkshire County","Massachusetts",124571
"Bristol County","Massachusetts",566765
"Dukes County","Massachusetts",17461
"Essex County","Massachusetts",791263
"Franklin County","Massachusetts",70267
"Hampden County","Massachusetts",463986
"Hampshire County","Massachusetts",161401
"Middlesex County","Massachusetts",1609379
"Nantucket County","Massachusetts",11376
"Norfolk County","Massachusetts",709409
"Plymouth County","Massachusetts",523738
"Suffolk County","Massachusetts",801582
"Worcester County","Massachusetts",829212
"Alcona County","Michigan",10505
"Alger County","Michigan",9015
"Allegan County","Michigan",118927
"Alpena County","Michigan",28238
"Antrim County","Michigan",23449
"Arenac County","Michigan",14953
"Baraga County","Michigan",8164
"Barry County","Michigan",62061
"Bay County","Michigan",102387
"Benzie County","Michigan",17852
"Berrien County","Michigan",153025
"Branch County","Michigan",43424
"Calhoun County","Michigan",133580
"Cass County","Michigan",51584
"Charlevoix County","Michigan",26105
"Cheboygan County","Michigan",25365
"Chippewa County","Michigan",36958
"Clare County","Michigan",30771
"Clinton County","Michigan",79753
"Crawford County","Michigan",13981
"Delta County","Michigan",35612
"Dickinson County","Michigan",25112
"Eaton County","Michigan",110148
"Emmet County","Michigan",33342
"Genesee County","Michigan",404794
"Gladwin County","Michigan",25424
"Gogebic County","Michigan",13842
"Grand Traverse County","Michigan",93592
"Gratiot County","Michigan",40283
"Hillsdale County","Michigan",45658
"Houghton County","Michigan",35126
"Huron County","Michigan",30653
"Ingham County","Michigan",290609
"Ionia County","Michigan",64553
"Iosco County","Michigan",25140
"Iron County","Michigan",11066
"Isabella County","Michigan",69504
"Jackson County","Michigan",156920
"Kalamazoo County","Michigan",265988
"Kalkaska County","Michigan",18003
"Kent County","Michigan",658708
"Keweenaw County","Michigan",2119
"Lake County","Michigan",11587
"Lapeer County","Michigan",87635
"Leelanau County","Michigan",21743
"Lenawee County","Michigan",97808
"Livingston County","Michigan",192335
"Luce County","Michigan",6126
"Mackinac County","Michigan",10839
"Macomb County","Michigan",870791
"Manistee County","Michigan",24738
"Marquette County","Michigan",65834
"Mason County","Michigan",29164
"Mecosta County","Michigan",43907
"Menominee County","Michigan",22608
"Midland County","Michigan",83441
"Missaukee County","Michigan",15152
"Monroe County","Michigan",150568
"Montcalm County","Michigan",63476
"Montmorency County","Michigan",9337
"Muskegon County","Michigan",173883
"Newaygo County","Michigan",49348
"Oakland County","Michigan",1253459
"Oceana County","Michigan",26819
"Ogemaw County","Michigan",20923
"Ontonagon County","Michigan",5656
"Osceola County","Michigan",23466
"Oscoda County","Michigan",8368
"Otsego County","Michigan",24765
"Ottawa County","Michigan",294635
"Presque Isle County","Michigan",12665
"Roscommon County","Michigan",23986
"Saginaw County","Michigan",189868
"St. Clair County","Michigan",159293
"St. Joseph County","Michigan",60848
"Sanilac County","Michigan",40747
"Schoolcraft County","Michigan",8104
"Shiawassee County","Michigan",67738
"Tuscola County","Michigan",52289
"Van Buren County","Michigan",75474
"Washtenaw County","Michigan",366473
"Wayne County","Michigan",1740623
"Wexford County","Michigan",33743
"Aitkin County","Minnesota",15848
"Anoka County","Minnesota",359921
"Becker County","Minnesota",34456
"Beltrami County","Minnesota",47442
"Benton County","Minnesota",40958
"Big Stone County","Minnesota",4923
"Blue Earth County","Minnesota",68241
"Brown County","Minnesota",24846
"Carlton County","Minnesota",35769
"Carver County","Minnesota",106565
"Cass County","Minnesota",29928
"Chippewa County","Minnesota",11758
"Chisago County","Minnesota",56794
"Clay County","Minnesota",64690
"Clearwater County","Minnesota",9017
"Cook County","Minnesota",5417
"Cottonwood County","Minnesota",11242
"Crow Wing County","Minnesota",65644
"Dakota County","Minnesota",431807
"Dodge County","Minnesota",20987
"Douglas County","Minnesota",38328
"Faribault County","Minnesota",13601
"Fillmore County","Minnesota",21135
"Freeborn County","Minnesota",30364
"Goodhue County","Minnesota",46318
"Grant County","Minnesota",6026
"Hennepin County","Minnesota",1268408
"Houston County","Minnesota",18632
"Hubbard County","Minnesota",21783
"Isanti County","Minnesota",41429
"Itasca County","Minnesota",45268
"Jackson County","Minnesota",9768
"Kanabec County","Minnesota",16416
"Kandiyohi County","Minnesota",43130
"Kittson County","Minnesota",4214
"Koochiching County","Minnesota",12059
"Lac qui Parle County","Minnesota",6527
"Lake County","Minnesota",10639
"Lake of the Woods County","Minnesota",3754
"Le Sueur County","Minnesota",28741
"Lincoln County","Minnesota",5568
"Lyon County","Minnesota",25271
"McLeod County","Minnesota",35710
"Mahnomen County","Minnesota",5473
"Marshall County","Minnesota",9321
"Martin County","Minnesota",19484
"Meeker County","Minnesota",23341
"Mille Lacs County","Minnesota",26146
"Morrison County","Minnesota",33187
"Mower County","Minnesota",40150
"Murray County","Minnesota",8155
"Nicollet County","Minnesota",34482
"Nobles County","Minnesota",21400
"Norman County","Minnesota",6338
"Olmsted County","Minnesota",159298
"Otter Tail County","Minnesota",58741
"Pennington County","Minnesota",13874
"Pine County","Minnesota",29359
"Pipestone County","Minnesota",9121
"Polk County","Minnesota",30900
"Pope County","Minnesota",11277
"Ramsey County","Minnesota",547903
"Red Lake County","Minnesota",4046
"Redwood County","Minnesota",15079
"Renville County","Minnesota",14403
"Rice County","Minnesota",67084
"Rock County","Minnesota",9301
"Roseau County","Minnesota",15117
"St. Louis County","Minnesota",198538
"Scott County","Minnesota",150689
"Sherburne County","Minnesota",98811
"Sibley County","Minnesota",14715
"Stearns County","Minnesota",162038
"Steele County","Minnesota",36596
"Stevens County","Minnesota",9765
"Swift County","Minnesota",9176
"Todd County","Minnesota",24732
"Traverse County","Minnesota",3218
"Wabasha County","Minnesota",21642
"Wadena County","Minnesota",13807
"Waseca County","Minnesota",18550
"Washington County","Minnesota",265476
"Watonwan County","Minnesota",10792
"Wilkin County","Minnesota",6161
"Winona County","Minnesota",50485
"Wright County","Minnesota",140249
"Yellow Medicine County","Minnesota",9580
"Adams County","Mississippi",30275
"Alcorn County","Mississippi",36889
"Amite County","Mississippi",12205
"Attala County","Mississippi",18004
"Benton County","Mississippi",8351
"Bolivar County","Mississippi",30142
"Calhoun County","Mississippi",14241
"Carroll County","Mississippi",9732
"Chickasaw County","Mississippi",16951
"Choctaw County","Mississippi",8063
"Claiborne County","Mississippi",8911
"Clarke County","Mississippi",15299
"Clay County","Mississippi",19352
"Coahoma County","Mississippi",21564
"Copiah County","Mississippi",27933
"Covington County","Mississippi",18518
"DeSoto County","Mississippi",188275
"Forrest County","Mississippi",75009
"Franklin County","Mississippi",7657
"George County","Mississippi",24425
"Greene County","Mississippi",13477
"Grenada County","Mississippi",20610
"Hancock County","Mississippi",48000
"Harrison County","Mississippi",208801
"Hinds County","Mississippi",227966
"Holmes County","Mississippi",16726
"Humphreys County","Mississippi",7827
"Issaquena County","Mississippi",1220
"Itawamba County","Mississippi",23261
"Jackson County","Mississippi",143802
"Jasper County","Mississippi",16332
"Jefferson County","Mississippi",6997
"Jefferson Davis County","Mississippi",10890
"Jones County","Mississippi",67993
"Kemper County","Mississippi",9521
"Lafayette County","Mississippi",54408
"Lamar County","Mississippi",64165
"Lauderdale County","Mississippi",73751
"Lawrence County","Mississippi",12480
"Leake County","Mississippi",22741
"Lee County","Mississippi",85466
"Leflore County","Mississippi",27854
"Lincoln County","Mississippi",33936
"Lowndes County","Mississippi",58309
"Madison County","Mississippi",106871
"Marion County","Mississippi",24441
"Marshall County","Mississippi",35301
"Monroe County","Mississippi",35123
"Montgomery County","Mississippi",9661
"Neshoba County","Mississippi",28996
"Newton County","Mississippi",20866
"Noxubee County","Mississippi",10236
"Oktibbeha County","Mississippi",49789
"Panola County","Mississippi",33848
"Pearl River County","Mississippi",55876
"Perry County","Mississippi",11862
"Pike County","Mississippi",38997
"Pontotoc County","Mississippi",32461
"Prentiss County","Mississippi",25013
"Quitman County","Mississippi",6760
"Rankin County","Mississippi",155975
"Scott County","Mississippi",28061
"Sharkey County","Mississippi",4160
"Simpson County","Mississippi",26629
"Smith County","Mississippi",15779
"Stone County","Mississippi",18360
"Sunflower County","Mississippi",24740
"Tallahatchie County","Mississippi",13707
"Tate County","Mississippi",28539
"Tippah County","Mississippi",21748
"Tishomingo County","Mississippi",19275
